"Rk▲","Team","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Year","Num_Teams"
NA,"Boston Celtics*",41.3,89.6,0.461,12.6,34.5,0.364,18.6,23.2,0.801,10.7,35.4,46.1,23,8.3,5.6,13.8,21.6,113.7,2020,30
NA,"Phoenix Suns",41.2,88.1,0.468,11.4,31.8,0.358,19.9,23.8,0.834,9.8,33.8,43.5,27.2,7.7,4,14.8,22,113.6,2020,30
NA,"Los Angeles Lakers*",42.3,88.3,0.48,11,31.6,0.349,17.7,24.3,0.729,10.7,35.1,45.7,25.4,8.6,6.6,15.2,20.7,113.4,2020,30
NA,"Minnesota Timberwolves",40.4,91.6,0.441,13.3,39.7,0.336,19.1,25.4,0.753,10.5,34.3,44.8,23.8,8.7,5.7,15.3,21.4,113.3,2020,30
NA,"Toronto Raptors*",40.2,87.9,0.458,13.8,37,0.374,18.5,23.2,0.796,9.5,35.9,45.4,25.2,8.8,5,14.8,21.7,112.8,2020,30
NA,"Memphis Grizzlies",42.5,90.9,0.468,10.9,31.5,0.347,16.6,21.8,0.763,10.3,36.2,46.5,26.9,7.9,5.5,15.2,21.2,112.6,2020,30
NA,"Miami Heat*",39.5,84.4,0.468,13.4,35.4,0.379,19.7,25.2,0.783,8.5,35.9,44.4,25.9,7.5,4.5,14.9,20.6,112,2020,30
NA,"Atlanta Hawks",40.6,90.6,0.449,12,36.1,0.333,18.5,23.4,0.79,9.9,33.4,43.3,24,7.8,5.1,16.2,23.1,111.8,2020,30
NA,"Brooklyn Nets*",40.4,90.3,0.448,13.1,38.1,0.343,17.9,24.1,0.745,10.6,37.3,47.9,24.5,6.4,4.5,15.3,21,111.8,2020,30
NA,"Denver Nuggets*",42,88.9,0.473,11,30.6,0.359,16.2,20.9,0.777,10.8,33.4,44.1,26.7,8,4.6,13.8,20.3,111.3,2020,30
NA,"Utah Jazz*",40.1,85.1,0.471,13.4,35.2,0.38,17.8,22.8,0.779,9.1,35.8,44.9,22.4,6.1,4.1,15.1,20.4,111.3,2020,30
NA,"Philadelphia 76ers*",41.1,87.9,0.468,11.6,31.6,0.368,16.9,22.4,0.755,10.5,35,45.4,25.8,8,5.3,14.2,20.9,110.7,2020,30
NA,"Oklahoma City Thunder*",40,85.5,0.468,10.7,30.2,0.355,19.8,24.8,0.796,8.2,34.7,42.9,21.7,7.6,4.9,13.7,19.3,110.4,2020,30
NA,"Sacramento Kings",40.9,88.4,0.462,12.7,34.9,0.364,15.7,20.3,0.77,9.7,32.9,42.6,23.8,7.7,4.1,14.5,22.2,110.1,2020,30
NA,"Indiana Pacers*",42.1,88.5,0.476,10.2,28,0.363,15,19.1,0.787,8.7,34.1,42.8,25.9,7.4,5.2,13.2,19.8,109.4,2020,30
NA,"Orlando Magic*",39.3,88.6,0.444,11.1,32.2,0.343,17.6,22.7,0.774,10.3,34.2,44.5,23.9,8.2,5.4,12.8,18.3,107.3,2020,30
NA,"Detroit Pistons",39.3,85.7,0.459,12,32.7,0.367,16.6,22.4,0.743,9.8,32,41.7,24.1,7.4,4.5,15.3,19.7,107.2,2020,30
NA,"Cleveland Cavaliers",40.3,87.9,0.458,11.2,31.8,0.351,15.1,19.9,0.758,10.8,33.4,44.2,23.1,6.9,3.2,16.5,18.3,106.9,2020,30
NA,"Chicago Bulls",39.6,88.6,0.447,12.2,35.1,0.348,15.5,20.5,0.755,10.5,31.4,41.9,23.2,10,4.1,15.5,21.8,106.8,2020,30
NA,"Golden State Warriors",38.6,88.2,0.438,10.4,31.3,0.334,18.7,23.2,0.803,10,32.9,42.8,25.6,8.2,4.6,14.9,20.1,106.3,2020,30
NA,"New York Knicks",40,89.3,0.447,9.6,28.4,0.337,16.3,23.5,0.694,12,34.5,46.5,22.1,7.6,4.7,14.3,22.2,105.8,2020,30
NA,"Charlotte Hornets",37.3,85.9,0.434,12.1,34.3,0.352,16.2,21.6,0.748,11,31.8,42.8,23.8,6.6,4.1,14.6,18.8,102.9,2020,30
NA,"League Average",40.9,88.8,0.46,12.2,34.1,0.358,17.9,23.1,0.773,10.1,34.8,44.8,24.4,7.6,4.9,14.5,20.8,111.8,2020,30
NA,"Milwaukee Bucks*",44.7,91.8,0.487,14.4,37.1,0.389,16.2,21.4,0.76,10.3,37.8,48.1,25.5,8.1,4.6,13.8,17.3,120.1,2021,30
NA,"Brooklyn Nets*",43.1,87.3,0.494,14.2,36.1,0.392,18.1,22.5,0.804,8.9,35.5,44.4,26.8,6.7,5.3,13.5,19,118.6,2021,30
NA,"Washington Wizards*",43.2,90.9,0.475,10.2,29,0.351,20.1,26.2,0.769,9.7,35.5,45.2,25.5,7.3,4.1,14.4,21.6,116.6,2021,30
NA,"Utah Jazz*",41.3,88.1,0.468,16.7,43,0.389,17.2,21.5,0.799,10.6,37.6,48.3,23.7,6.6,5.2,14.2,18.5,116.4,2021,30
NA,"Portland Trail Blazers*",41.3,91.1,0.453,15.7,40.8,0.385,17.8,21.6,0.823,10.6,33.9,44.5,21.3,6.9,5,11.1,18.9,116.1,2021,30
NA,"Phoenix Suns*",43.3,88.3,0.49,13.1,34.6,0.378,15.6,18.7,0.834,8.8,34.2,42.9,26.9,7.2,4.3,12.5,19.1,115.3,2021,30
NA,"Indiana Pacers",43.3,91.2,0.474,12.3,34,0.364,16.4,20.7,0.792,9,33.7,42.7,27.4,8.5,6.4,13.5,20.2,115.3,2021,30
NA,"Denver Nuggets*",43.3,89.2,0.485,12.9,34.2,0.377,15.7,19.5,0.803,10.5,33.9,44.4,26.8,8.1,4.5,13.5,19.1,115.1,2021,30
NA,"New Orleans Pelicans",42.5,89.1,0.477,10.6,30.4,0.348,19,26.1,0.729,11.7,35.7,47.4,26,7.6,4.4,14.6,18,114.6,2021,30
NA,"Los Angeles Clippers*",41.8,86.7,0.482,14.3,34.7,0.411,16.2,19.3,0.839,9.4,34.7,44.2,24.4,7.1,4.1,13.2,19.2,114,2021,30
NA,"Atlanta Hawks*",40.8,87.2,0.468,12.4,33.4,0.373,19.7,24.2,0.812,10.6,35.1,45.6,24.1,7,4.8,13.2,19.3,113.7,2021,30
NA,"Sacramento Kings",42.6,88.6,0.481,12.1,33.3,0.364,16.4,22,0.745,9.4,32,41.4,25.5,7.5,5,13.4,19.4,113.7,2021,30
NA,"Golden State Warriors",41.3,88.2,0.468,14.6,38.7,0.376,16.6,21.1,0.785,8,35.1,43,27.7,8.2,4.8,15,21.2,113.7,2021,30
NA,"Philadelphia 76ers*",41.4,86.9,0.476,11.3,30.1,0.374,19.6,25.5,0.767,10,35,45.1,23.7,9.1,6.2,14.4,20.2,113.6,2021,30
NA,"Memphis Grizzlies*",42.8,91.8,0.467,11.2,31.4,0.356,16.4,21.3,0.771,11.2,35.3,46.5,26.9,9.1,5.1,13.3,18.7,113.3,2021,30
NA,"Boston Celtics*",41.5,88.9,0.466,13.6,36.4,0.374,16.1,20.8,0.775,10.6,33.6,44.3,23.5,7.7,5.3,14.1,20.4,112.6,2021,30
NA,"Dallas Mavericks*",41.1,87.3,0.47,13.8,38.1,0.362,16.5,21.2,0.778,9.1,34.2,43.3,22.9,6.3,4.3,12.1,19.4,112.4,2021,30
NA,"Minnesota Timberwolves",40.7,90.9,0.448,13.1,37.6,0.349,17.6,23.1,0.761,10.5,33,43.5,25.6,8.8,5.5,14.3,20.9,112.1,2021,30
NA,"Toronto Raptors",39.7,88.7,0.448,14.5,39.3,0.368,17.4,21.3,0.815,9.4,32.1,41.6,24.1,8.6,5.4,13.2,21.2,111.3,2021,30
NA,"San Antonio Spurs",41.9,90.5,0.462,9.9,28.4,0.35,17.4,22,0.792,9.3,34.6,43.9,24.4,7,5.1,11.4,18,111.1,2021,30
NA,"Chicago Bulls",42.2,88.6,0.476,12.6,34,0.37,13.8,17.5,0.791,9.6,35.3,45,26.8,6.7,4.2,15.1,18.9,110.7,2021,30
NA,"Los Angeles Lakers*",40.6,86.1,0.472,11.1,31.2,0.354,17.2,23.3,0.739,9.7,34.6,44.2,24.7,7.8,5.4,15.2,19.1,109.5,2021,30
NA,"Charlotte Hornets",39.9,87.8,0.455,13.7,37,0.369,15.9,20.9,0.761,10.6,33.2,43.8,26.8,7.8,4.8,14.8,18,109.5,2021,30
NA,"Houston Rockets",39.3,88.5,0.444,13.8,40.6,0.339,16.5,22.3,0.74,9.3,33.3,42.6,23.6,7.6,5,14.7,19.5,108.8,2021,30
NA,"Miami Heat*",39.2,83.7,0.468,12.9,36.2,0.358,16.7,21.1,0.79,8,33.5,41.5,26.3,7.9,4,14.1,18.9,108.1,2021,30
NA,"New York Knicks*",39.4,86.5,0.456,11.8,30,0.392,16.4,20.9,0.784,9.7,35.5,45.1,21.4,7,5.1,12.9,20.5,107,2021,30
NA,"Detroit Pistons",38.7,85.6,0.452,11.6,32.9,0.351,17.8,23.4,0.759,9.6,33.1,42.7,24.2,7.4,5.2,14.9,20.5,106.6,2021,30
NA,"Oklahoma City Thunder",38.8,88,0.441,11.9,35.1,0.339,15.5,21.3,0.725,9.9,35.7,45.6,22.1,7,4.4,16.1,18.1,105,2021,30
NA,"Orlando Magic",38.3,89.2,0.429,10.9,31.8,0.343,16.6,21.4,0.775,10.4,35.1,45.4,21.8,6.9,4.4,12.8,17.2,104,2021,30
NA,"Cleveland Cavaliers",38.6,85.8,0.45,10,29.7,0.336,16.7,22.4,0.743,10.4,32.3,42.8,23.8,7.8,4.5,15.5,18.2,103.8,2021,30
NA,"League Average",41.2,88.4,0.466,12.7,34.6,0.367,17,21.8,0.778,9.8,34.5,44.3,24.8,7.6,4.9,13.8,19.3,112.1,2021,30
NA,"Minnesota Timberwolves*",41.6,91,0.457,14.8,41.3,0.358,18,23.1,0.778,11.2,32.9,44.2,25.7,8.8,5.6,14.3,21.8,115.9,2022,30
NA,"Memphis Grizzlies*",43.5,94.4,0.461,11.5,32.7,0.353,17,23.1,0.734,14.1,35,49.2,26,9.8,6.5,13.2,19.8,115.6,2022,30
NA,"Milwaukee Bucks*",41.8,89.4,0.468,14.1,38.4,0.366,17.8,22.9,0.776,10.2,36.5,46.7,23.9,7.6,4,13.4,18.2,115.5,2022,30
NA,"Charlotte Hornets",42.8,91.4,0.468,13.9,38.2,0.365,15.8,21.4,0.74,10.8,33.7,44.6,28.1,8.6,4.9,13.3,19.9,115.3,2022,30
NA,"Phoenix Suns*",43.7,90.1,0.485,11.6,31.9,0.364,15.9,19.9,0.797,9.8,35.5,45.3,27.4,8.6,4.4,12.9,19.9,114.8,2022,30
NA,"Atlanta Hawks*",41.5,88.3,0.47,12.9,34.4,0.374,18.1,22.3,0.812,10,33.9,44,24.6,7.2,4.2,11.9,18.7,113.9,2022,30
NA,"Utah Jazz*",40.6,86.2,0.471,14.5,40.3,0.36,17.9,23.4,0.767,10.8,35.6,46.3,22.4,7.2,4.9,14,18.9,113.6,2022,30
NA,"San Antonio Spurs",43.2,92.7,0.467,11.3,32,0.352,15.4,20.4,0.754,11,34.3,45.3,27.9,7.6,4.9,12.7,18.1,113.2,2022,30
NA,"Brooklyn Nets*",42,88.4,0.475,11.5,31.7,0.361,17.5,21.7,0.805,10.3,34.1,44.4,25.3,7.1,5.5,14.1,20.4,112.9,2022,30
NA,"Denver Nuggets*",41.7,86.3,0.483,12.7,35.9,0.353,16.7,21,0.795,9.2,34.9,44.1,27.8,7.2,3.7,14.5,20,112.7,2022,30
NA,"Los Angeles Lakers",41.6,88.8,0.469,12,34.5,0.347,16.8,23,0.732,9.5,34.5,44,24,7.6,5.2,14.5,20.2,112.1,2022,30
NA,"Boston Celtics*",40.7,87.4,0.466,13.2,37.1,0.356,17,20.9,0.816,10.5,35.5,46.1,24.8,7.2,5.8,13.6,18.5,111.8,2022,30
NA,"Chicago Bulls*",41.7,86.9,0.48,10.6,28.8,0.369,17.5,21.5,0.813,8.7,33.7,42.3,23.9,7.1,4.1,12.8,18.8,111.6,2022,30
NA,"Indiana Pacers",41.4,89.5,0.463,12.2,35.4,0.344,16.4,21.4,0.768,11.3,32.6,43.9,25.4,7.1,5.6,14.4,20.4,111.5,2022,30
NA,"Golden State Warriors*",40.5,86.4,0.469,14.3,39.4,0.364,15.6,20.3,0.769,9.8,35.7,45.5,27.1,8.8,4.5,14.9,21,111,2022,30
NA,"Sacramento Kings",40.5,88.1,0.46,11.4,33.2,0.344,17.9,23.3,0.768,9.6,33.4,42.9,23.7,7.2,4.5,14.1,18.9,110.3,2022,30
NA,"Miami Heat*",39.6,84.8,0.467,13.6,35.8,0.379,17.3,21.4,0.808,9.8,33.9,43.7,25.5,7.4,3.2,14.6,20.5,110,2022,30
NA,"Philadelphia 76ers*",39.4,84.5,0.466,11.6,31.8,0.364,19.6,23.8,0.821,8.5,33.8,42.3,23.7,7.7,5.3,12.5,19.4,109.9,2022,30
NA,"Houston Rockets",39.4,86.4,0.456,13.5,38.7,0.349,17.5,24.5,0.713,9.6,32.4,42,23.6,7.3,4.7,16.5,20.6,109.7,2022,30
NA,"Toronto Raptors*",40.6,91.3,0.445,11.9,34.2,0.349,16.2,21.3,0.759,13.4,32,45.3,22.1,9,4.6,12.5,19.6,109.4,2022,30
NA,"New Orleans Pelicans*",40.2,88,0.457,10.6,32.1,0.332,18.3,23.2,0.789,12,33.2,45.2,25,8.3,4,14.1,19.7,109.3,2022,30
NA,"Washington Wizards",40.6,86,0.472,10.5,30.6,0.342,17,21.7,0.783,9,34.1,43.1,25,6.4,5,13.1,18.8,108.6,2022,30
NA,"Los Angeles Clippers",40.1,87.4,0.458,12.8,34.2,0.374,15.5,19.6,0.793,9.1,34.9,44,24,7.4,5,13.7,18.6,108.4,2022,30
NA,"Dallas Mavericks*",39.3,85.1,0.461,13.1,37.4,0.35,16.4,21.2,0.771,9.3,33.8,43,23.4,6.7,4,12.5,19.7,108,2022,30
NA,"Cleveland Cavaliers",39.7,84.6,0.469,11.6,32.8,0.355,16.8,22.1,0.76,10.2,34,44.2,25.2,7.1,4.2,14.4,17.5,107.8,2022,30
NA,"New York Knicks",37.7,86.2,0.437,13.2,36.9,0.357,18,24.1,0.744,11.5,34.6,46.1,21.9,7,4.9,13.3,20.4,106.5,2022,30
NA,"Portland Trail Blazers",38.5,87.1,0.442,12.7,36.8,0.346,16.4,21.6,0.76,10.4,32.5,42.9,22.9,8,4.5,14.5,21.1,106.2,2022,30
NA,"Detroit Pistons",38.2,88.6,0.431,11.3,34.6,0.326,17.2,22,0.782,11,32,43,23.5,7.7,4.8,14.2,21.9,104.8,2022,30
NA,"Orlando Magic",38.3,88.3,0.434,12.2,36.9,0.331,15.5,19.7,0.787,9.1,35.2,44.3,23.7,6.8,4.5,14.5,19.7,104.2,2022,30
NA,"Oklahoma City Thunder",38.3,89.1,0.43,12.1,37.4,0.323,15,19.9,0.756,10.4,35.2,45.6,22.2,7.6,4.6,14,18.3,103.7,2022,30
NA,"League Average",40.6,88.1,0.461,12.4,35.2,0.354,16.9,21.9,0.775,10.3,34.1,44.5,24.6,7.6,4.7,13.8,19.6,110.6,2022,30
NA,"Sacramento Kings*",43.6,88.2,0.494,13.8,37.3,0.369,19.8,25.1,0.79,9.5,32.9,42.5,27.3,7,3.4,13.5,19.7,120.7,2023,30
NA,"Golden State Warriors*",43.1,90.2,0.479,16.6,43.2,0.385,16,20.2,0.794,10.5,34.1,44.6,29.8,7.2,3.9,16.3,21.4,118.9,2023,30
NA,"Atlanta Hawks*",44.6,92.4,0.483,10.8,30.5,0.352,18.5,22.6,0.818,11.2,33.2,44.4,25,7.1,4.9,12.9,18.8,118.4,2023,30
NA,"Boston Celtics*",42.2,88.8,0.475,16,42.6,0.377,17.5,21.6,0.812,9.7,35.6,45.3,26.7,6.4,5.2,13.4,18.8,117.9,2023,30
NA,"Oklahoma City Thunder*",43.1,92.6,0.465,12.1,34.1,0.356,19.2,23.7,0.809,11.4,32.3,43.6,24.4,8.2,4.2,13,21,117.5,2023,30
NA,"Los Angeles Lakers*",42.9,89,0.482,10.8,31.2,0.346,20.6,26.6,0.775,10,35.7,45.7,25.3,6.4,4.6,14.1,17.9,117.2,2023,30
NA,"Utah Jazz",42.5,89.8,0.473,13.3,37.8,0.353,18.7,23.8,0.786,11.8,34.1,45.9,26,6.1,5.2,15.4,20.5,117.1,2023,30
NA,"Memphis Grizzlies*",43.7,92.1,0.475,12,34.2,0.351,17.5,23.8,0.733,12,34.6,46.6,26,8.3,5.8,13.6,20,116.9,2023,30
NA,"Milwaukee Bucks*",42.7,90.4,0.473,14.8,40.3,0.368,16.6,22.4,0.743,11.1,37.5,48.6,25.8,6.4,4.9,14.6,18.1,116.9,2023,30
NA,"Indiana Pacers",42,89.6,0.469,13.6,37,0.367,18.7,23.7,0.79,10.1,31.4,41.5,27,7.7,5.8,14.9,21.2,116.3,2023,30
NA,"New York Knicks*",42,89.4,0.47,12.6,35.7,0.354,19.4,25.5,0.761,12.6,34,46.6,22.9,6.4,4.1,13,20.3,116,2023,30
NA,"Denver Nuggets*",43.6,86.4,0.504,11.8,31.2,0.379,16.8,22.4,0.751,10.1,32.9,43,28.9,7.5,4.5,14.5,18.6,115.8,2023,30
NA,"Minnesota Timberwolves*",42.9,87.4,0.49,12.2,33.3,0.365,17.9,23.7,0.755,9.1,32.8,41.9,26.2,8,5.4,15.3,21.6,115.8,2023,30
NA,"Philadelphia 76ers*",40.8,83.8,0.487,12.6,32.6,0.387,21,25.1,0.835,8.7,32.2,40.9,25.2,7.7,4.7,13.7,20.4,115.2,2023,30
NA,"New Orleans Pelicans*",42,87.6,0.48,11,30.1,0.364,19.3,24.4,0.793,10.6,33.1,43.7,25.9,8.3,4.1,14.6,20.5,114.4,2023,30
NA,"Dallas Mavericks",40,84.3,0.475,15.2,41,0.371,19,25.1,0.755,7.6,31.2,38.8,22.9,6.3,3.7,12.2,20.7,114.2,2023,30
NA,"Phoenix Suns*",42.1,90.1,0.467,12.2,32.6,0.374,17.2,21.7,0.793,11.8,32.4,44.2,27.3,7.1,5.3,13.5,21.2,113.6,2023,30
NA,"Los Angeles Clippers*",41.1,86.1,0.477,12.7,33.4,0.381,18.7,23.9,0.781,9.8,33.4,43.2,23.9,7.1,4.4,14.2,19.5,113.6,2023,30
NA,"Portland Trail Blazers",40.5,85.4,0.474,12.9,35.3,0.365,19.6,24.6,0.796,9.4,31.1,40.5,24.2,6.7,4.6,14.5,20,113.4,2023,30
NA,"Brooklyn Nets*",41.5,85.1,0.487,12.8,33.8,0.378,17.7,22.1,0.8,8.2,32.3,40.5,25.5,7.1,6.2,13.7,21.1,113.4,2023,30
NA,"Washington Wizards",42.1,86.9,0.485,11.3,31.7,0.356,17.6,22.4,0.785,9.4,34.2,43.6,25.4,6.8,5.2,14.1,18.8,113.2,2023,30
NA,"Chicago Bulls*",42.5,86.8,0.49,10.4,28.9,0.361,17.6,21.8,0.809,8.5,33.9,42.4,24.5,7.9,4.5,13.4,18.9,113.1,2023,30
NA,"San Antonio Spurs",43.1,92.6,0.465,11.1,32.2,0.345,15.8,21.2,0.743,11.8,31.9,43.7,27.2,7,3.9,15.3,19.9,113,2023,30
NA,"Toronto Raptors*",41.9,91.3,0.459,10.7,32,0.335,18.4,23.4,0.784,12.7,30.3,43,23.9,9.4,5.2,11.7,20,112.9,2023,30
NA,"Cleveland Cavaliers*",41.6,85.2,0.488,11.6,31.6,0.367,17.5,22.5,0.78,9.7,31.4,41.1,24.9,7.1,4.7,13.3,19,112.3,2023,30
NA,"Orlando Magic",40.5,86.3,0.47,10.8,31.1,0.346,19.6,25,0.784,10.2,33.1,43.2,23.2,7.4,4.7,15.1,20.1,111.4,2023,30
NA,"Charlotte Hornets",41.3,90.4,0.457,10.7,32.5,0.33,17.6,23.6,0.749,11,33.5,44.5,25.1,7.7,5.2,14.2,20.3,111,2023,30
NA,"Houston Rockets",40.6,88.9,0.457,10.4,31.9,0.327,19.1,25.3,0.754,13.4,32.9,46.3,22.4,7.3,4.6,16.2,20.5,110.7,2023,30
NA,"Detroit Pistons",39.6,87.1,0.454,11.4,32.4,0.351,19.8,25.7,0.771,11.2,31.3,42.4,23,7,3.8,15.1,22.1,110.3,2023,30
NA,"Miami Heat*",39.2,85.3,0.46,12,34.8,0.344,19.1,23,0.831,9.7,30.9,40.6,23.8,8,3,13.5,18.5,109.5,2023,30
NA,"League Average",42,88.3,0.475,12.3,34.2,0.361,18.4,23.5,0.782,10.4,33,43.4,25.3,7.3,4.7,14.1,20,114.7,2023,30
