"","Rank","Player","PTS","Date","Tm","Year"
"96",NA,"Purvis Short",59,1984-11-17,"GSW",1985
"97",NA,"Wilt Chamberlain*",59,1964-02-11,"SFW",1964
"98",NA,"Wilt Chamberlain*",59,1964-01-28,"SFW",1964
"99",NA,"Wilt Chamberlain*",59,1963-12-06,"SFW",1964
"100",NA,"Wilt Chamberlain*",59,1962-12-02,"SFW",1963
"101",NA,"Wilt Chamberlain*",59,1962-11-18,"SFW",1963
"102",NA,"Wilt Chamberlain*",59,1962-10-30,"SFW",1963
"103",NA,"Wilt Chamberlain*",59,1962-02-08,"PHW",1962
"104",NA,"Wilt Chamberlain*",59,1961-12-25,"PHW",1962
"105",NA,"Jack Twyman*",59,1960-01-15,"CIN",1960
